"gene","module","module_color"
"ATIC",3,"brown"
"FN1",3,"brown"
"PLS3",2,"blue"
"RUVBL1",1,"turquoise"
"NUDT7",4,"yellow"
"TMEM50B",4,"yellow"
"TRIM62",2,"blue"
"gga-mir-6583",1,"turquoise"
"BAAT",1,"turquoise"
"DYNLL2",1,"turquoise"
"UBE2S",7,"black"
"RECK",5,"green"
"AKTIP",1,"turquoise"
"APOH",4,"yellow"
"DPM2",1,"turquoise"
"HNRNPR",1,"turquoise"
"PRPSAP2",6,"red"
"PLA2G4A",1,"turquoise"
"ST6GALNAC4",2,"blue"
"PPM1E",1,"turquoise"
"EPS15L1",1,"turquoise"
"LXN",1,"turquoise"
"SHROOM4",4,"yellow"
"DERL1",2,"blue"
"SPATS2",2,"blue"
"SFXN1",4,"yellow"
"DRAM1",6,"red"
"SERTM1",1,"turquoise"
"ZCCHC9",3,"brown"
"MRPL35",1,"turquoise"
"VAMP1",1,"turquoise"
"KIFC1",1,"turquoise"
"RP11-529K1.3",1,"turquoise"
"COMMD10",6,"red"
"ADPRHL2",4,"yellow"
"CNOT1",1,"turquoise"
"MPZ",2,"blue"
"DHRS3",4,"yellow"
"UBE2D1",1,"turquoise"
"RPL11",2,"blue"
"LMBR1",7,"black"
"ONECUT1",1,"turquoise"
"ALG8",1,"turquoise"
"GTPBP10",1,"turquoise"
"GANC",3,"brown"
"SESTD1",3,"brown"
"FAM183A",1,"turquoise"
"CLDN12",1,"turquoise"
"TMEM263",2,"blue"
"ABCA3",1,"turquoise"
"JUN",1,"turquoise"
"ITGB8",1,"turquoise"
"FGGY",1,"turquoise"
"LATS1",1,"turquoise"
"PIKFYVE",1,"turquoise"
"ACSL5",4,"yellow"
"VPS54",8,"pink"
"HAO1",1,"turquoise"
"SLC31A1",4,"yellow"
"PADI1",1,"turquoise"
"RPIA",4,"yellow"
"SUCLG1",2,"blue"
"AMD1",3,"brown"
"RCAN2",2,"blue"
"ENPP4",3,"brown"
"FBXO39",5,"green"
"CDC5L",1,"turquoise"
"FKBP3",1,"turquoise"
"KIF5C",1,"turquoise"
"SKIV2L2",1,"turquoise"
"GSTK1",3,"brown"
"DHX29",1,"turquoise"
"PRRC1",3,"brown"
"SRA1",1,"turquoise"
"NKIRAS1",1,"turquoise"
"DACT2",2,"blue"
"UBE2E1",1,"turquoise"
"EEA1",1,"turquoise"
"PLBD1",1,"turquoise"
"RNF141",1,"turquoise"
"FUNDC2",1,"turquoise"
"gga-mir-6590",1,"turquoise"
"SLF2",1,"turquoise"
"SPATA2",8,"pink"
"TMEM94",2,"blue"
"SEC22C",1,"turquoise"
"BEAN1",2,"blue"
"SOX8",4,"yellow"
"SNAPC1",5,"green"
"POLDIP3",5,"green"
"SYT16",1,"turquoise"
"RRP7A",4,"yellow"
"AP2A2",1,"turquoise"
"ELF2",1,"turquoise"
"CCDC47",1,"turquoise"
"MRPL32",2,"blue"
"FBXL12",2,"blue"
"PABPN1L",3,"brown"
"TUBA1B",1,"turquoise"
"PIGU",6,"red"
"GLYCTK",1,"turquoise"
"MARS2",4,"yellow"
"APOA1",3,"brown"
"ASB7",1,"turquoise"
"KCTD6",3,"brown"
"LINS1",1,"turquoise"
"DAGLB",3,"brown"
"TLN1",1,"turquoise"
"RGS1",1,"turquoise"
"PCDH12",1,"turquoise"
"CDH17",1,"turquoise"
"TNKS",1,"turquoise"
"ENY2",1,"turquoise"
"CTSH",1,"turquoise"
"SLC16A14",3,"brown"
"STC2",7,"black"
"ACADL",3,"brown"
"AACS",2,"blue"
"SLC2A10",4,"yellow"
"RSRC2",1,"turquoise"
"CCNE1",3,"brown"
"TNIP1",8,"pink"
"E2F7",5,"green"
"SPPL2A",2,"blue"
"OLAH",3,"brown"
"TMEM220",1,"turquoise"
"ZMYND11",3,"brown"
"SORL1",2,"blue"
"CHSY1",1,"turquoise"
"TMEM100",2,"blue"
"MOGS",2,"blue"
"RACGAP1",2,"blue"
"JAK3",4,"yellow"
"TMEM245",1,"turquoise"
"PLPP7",1,"turquoise"
"GALNT1",2,"blue"
"C18orf21",1,"turquoise"
"LRP4",3,"brown"
"CSPG5",2,"blue"
"ABLIM2",1,"turquoise"
"MXI1",1,"turquoise"
"IL17REL",1,"turquoise"
"ARL5B",7,"black"
"CRELD2",1,"turquoise"
"MRPS5",1,"turquoise"
"INO80",1,"turquoise"
"CUL4B",1,"turquoise"
"RBM45",6,"red"
"TRIM2",1,"turquoise"
"CYP1B1",3,"brown"
"MYO3A",3,"brown"
"GTF2E1",4,"yellow"
"C11orf87",9,"magenta"
"ZC3H12C",4,"yellow"
"DDX10",1,"turquoise"
"RDX",8,"pink"
"ATM",1,"turquoise"
"PRMT8",4,"yellow"
"WNT4",3,"brown"
"LRRC15",4,"yellow"
"CYB561A3",2,"blue"
"ACBD6",1,"turquoise"
"NUBPL",1,"turquoise"
"ZNF827",1,"turquoise"
"TOP2A",1,"turquoise"
"ELOVL1",1,"turquoise"
"COASY",1,"turquoise"
"VDAC1",2,"blue"
"SLC35D1",2,"blue"
"ARHGAP24",4,"yellow"
"NDUFA1",2,"blue"
"ZBTB33",4,"yellow"
"PARVA",4,"yellow"
"TTL",1,"turquoise"
"CER1",1,"turquoise"
"UPF3B",1,"turquoise"
"ALS2CL",4,"yellow"
"RSPH9",4,"yellow"
"DCTN6",5,"green"
"RBPMS",2,"blue"
"VEGFA",2,"blue"
"MRPS18A",1,"turquoise"
"FN3K",5,"green"
"ST7L",1,"turquoise"
"TCEANC2",4,"yellow"
"EXO1",1,"turquoise"
"HMGB2",4,"yellow"
"GALNT7",1,"turquoise"
"TMEM59",4,"yellow"
"YIPF1",4,"yellow"
"LRRC42",3,"brown"
"HNRNPA0",1,"turquoise"
"CHMP1A",1,"turquoise"
"LRRC8B",1,"turquoise"
"APC2",1,"turquoise"
"SLITRK3",1,"turquoise"
"GPR83",3,"brown"
"ANKRD49",2,"blue"
"MRE11",1,"turquoise"
"MED17",1,"turquoise"
"ST3GAL1",2,"blue"
"NAB1",1,"turquoise"
"STAT3",3,"brown"
"PTP4A2",2,"blue"
"UTP6",1,"turquoise"
"PTRF",2,"blue"
"EXOC8",4,"yellow"
"RPS27A",1,"turquoise"
"HYLS1",4,"yellow"
"COL4A1",1,"turquoise"
"GLYR1",1,"turquoise"
"IMPA1",1,"turquoise"
"GOLGA7",1,"turquoise"
"RAB8B",1,"turquoise"
"BARD1",1,"turquoise"
"CCND3",3,"brown"
"METTL22",1,"turquoise"
"gga-mir-30b",1,"turquoise"
"gga-mir-200b",1,"turquoise"
"GUCD1",1,"turquoise"
"RCAN3",1,"turquoise"
"HNF4A",4,"yellow"
"WSCD1",3,"brown"
"LRCH2",3,"brown"
"PGP",6,"red"
"CCDC18",9,"magenta"
"RAB40C",1,"turquoise"
"STARD8",3,"brown"
"RAB26",1,"turquoise"
"CBFA2T3",3,"brown"
"NADK",2,"blue"
"HMX3",6,"red"
"HOXD4",3,"brown"
"DEF8",1,"turquoise"
"FABP5",4,"yellow"
"KLHL41",7,"black"
"MRPL27",1,"turquoise"
"CKS2",1,"turquoise"
"ROMO1",1,"turquoise"
"GRIN2C",1,"turquoise"
"gga-mir-6597",1,"turquoise"
"PSMA3",4,"yellow"
"ADSL",4,"yellow"
"ARID4A",1,"turquoise"
"QSER1",1,"turquoise"
"SGSM3",4,"yellow"
"PRRG4",3,"brown"
"FYN",1,"turquoise"
"TMEM171",3,"brown"
"JAK2",1,"turquoise"
"VANGL1",0,"grey"
"RCL1",5,"green"
"EVC2",3,"brown"
"YIPF3",1,"turquoise"
"OCIAD1",1,"turquoise"
"FGFR1OP2",5,"green"
"TM7SF3",7,"black"
"PNPLA8",7,"black"
"PLEKHH1",4,"yellow"
"TMA16",5,"green"
"VPS50",1,"turquoise"
"RAB3GAP2",1,"turquoise"
"ATE1",1,"turquoise"
"RABEP1",1,"turquoise"
"UBE3B",2,"blue"
"DGKD",0,"grey"
"AFG3L2",1,"turquoise"
"SPATA6",1,"turquoise"
"SNW1",4,"yellow"
"NKX6-2",5,"green"
"BEND5",5,"green"
"ADCK1",1,"turquoise"
"NR5A1",8,"pink"
"ATP8B3",1,"turquoise"
"SPRY2",2,"blue"
"GPC5",2,"blue"
"NDFIP2",1,"turquoise"
"PARP16",1,"turquoise"
"TOB1",3,"brown"
"ZDHHC5",1,"turquoise"
"ARID5B",3,"brown"
"RCAN1",5,"green"
"FOXRED1",1,"turquoise"
"ARHGAP5",1,"turquoise"
"GEMIN5",1,"turquoise"
"CNOT6",4,"yellow"
"SYNJ1",1,"turquoise"
"gga-mir-6599",1,"turquoise"
"PRCC",5,"green"
"ITFG1",1,"turquoise"
"PTPRS",1,"turquoise"
"GALE",1,"turquoise"
"MFAP3",3,"brown"
"F5",6,"red"
"PCNA",5,"green"
"MPI",1,"turquoise"
"AZIN1",1,"turquoise"
"PHLDB1",3,"brown"
"SLC35G2",3,"brown"
"ST3GAL4",1,"turquoise"
"NT5DC3",5,"green"
"MED6",5,"green"
"ACAD11",3,"brown"
"SLC2A13",4,"yellow"
"IRS1",5,"green"
"BTK",1,"turquoise"
"RHBDD1",1,"turquoise"
"GPI",1,"turquoise"
"DRG2",1,"turquoise"
"SLC44A5",4,"yellow"
"TECPR2",1,"turquoise"
"CINP",1,"turquoise"
"METAP2",1,"turquoise"
"ANKRD9",1,"turquoise"
"RNF25",4,"yellow"
"GALK2",4,"yellow"
"SLC9A3R2",4,"yellow"
"C3orf70",3,"brown"
"NFIX",6,"red"
"CAMK2D",1,"turquoise"
"ACTG2",2,"blue"
"ANTXR2",4,"yellow"
"PGAM1",1,"turquoise"
"ARHGEF9",1,"turquoise"
"SAP130",2,"blue"
"TMEM8B",2,"blue"
"NKX2-1",6,"red"
"WIPF2",3,"brown"
"LHFPL4",2,"blue"
"MYH9",3,"brown"
"LSM4",9,"magenta"
"HERC1",2,"blue"
"KPNA6",5,"green"
"CFI",5,"green"
"NOTCH2",1,"turquoise"
"LANCL1",1,"turquoise"
"ETFA",2,"blue"
"TRIP12",2,"blue"
"FAM78B",2,"blue"
"SMYD4",2,"blue"
"SRM",6,"red"
"OTP",1,"turquoise"
"GTF2A1L",1,"turquoise"
"HVCN1",6,"red"
"UNC5B",2,"blue"
"USP34",1,"turquoise"
"PPM1B",2,"blue"
"SSH2",1,"turquoise"
"ZBTB6",2,"blue"
"SFXN3",2,"blue"
"OTULIN",2,"blue"
"TMEM79",1,"turquoise"
"DYNLT3",4,"yellow"
"OTC",6,"red"
"C9orf85",4,"yellow"
"gga-mir-1705",1,"turquoise"
"gga-mir-1465",1,"turquoise"
"KPTN",4,"yellow"
"REEP1",1,"turquoise"
"RNGTT",1,"turquoise"
"IMMT",1,"turquoise"
"PNRC1",1,"turquoise"
"MAP4K4",3,"brown"
"GNG2",2,"blue"
"GCH1",1,"turquoise"
"CGRRF1",4,"yellow"
"PAM",1,"turquoise"
"GIN1",4,"yellow"
"DCBLD2",1,"turquoise"
"RB1CC1",9,"magenta"
"GMFB",2,"blue"
"MAST4",1,"turquoise"
"SLC30A5",4,"yellow"
"MRPS36",1,"turquoise"
"CENPH",2,"blue"
"CLIC2",0,"grey"
"ND5",1,"turquoise"
"NECAB1",1,"turquoise"
"SMIM19",1,"turquoise"
"COX5A",1,"turquoise"
"TEC",1,"turquoise"
"AGPAT4",4,"yellow"
"ILF2",1,"turquoise"
"MOB1B",1,"turquoise"
"ASPG",3,"brown"
"CNTNAP5",3,"brown"
"ACOT7",1,"turquoise"
"NIP7",5,"green"
"gga-mir-1580",1,"turquoise"
"OAF",1,"turquoise"
"CCDC61",4,"yellow"
"RAB36",1,"turquoise"
"RSPH14",1,"turquoise"
"GNAZ",8,"pink"
"SHE",1,"turquoise"
"TMLHE",1,"turquoise"
"S100A11",1,"turquoise"
"TRIAP1",1,"turquoise"
"ATP6V1G1",1,"turquoise"
"TK1",1,"turquoise"
"SLIT1",1,"turquoise"
"HMGB1",1,"turquoise"
"HOXB5",3,"brown"
"ZRANB1",1,"turquoise"
"MAFG",2,"blue"
"PTEN",9,"magenta"
"FBLIM1",3,"brown"
"PYGO1",3,"brown"
"GAS2L3",3,"brown"
"BAP1",1,"turquoise"
"ARIH1",1,"turquoise"
"WAPL",1,"turquoise"
"NCKAP1",2,"blue"
"TSPAN18",4,"yellow"
"PEAK1",1,"turquoise"
"CUL3",1,"turquoise"
"TPR",1,"turquoise"
"GDPD1",1,"turquoise"
"FPGS",5,"green"
"PRKDC",1,"turquoise"
"SMPD4",1,"turquoise"
"CCDC174",1,"turquoise"
"ZFAND1",2,"blue"
"DNAJC7",1,"turquoise"
"GDAP1",7,"black"
"DERL2",4,"yellow"
"ZNF692",1,"turquoise"
"TMEM214",2,"blue"
"RNF41",3,"brown"
"FBXW11",1,"turquoise"
"RFFL",1,"turquoise"
"DMXL1",1,"turquoise"
"NOC2L",5,"green"
"NDUFB7",1,"turquoise"
"AIMP2",5,"green"
"FBXL22",6,"red"
"PGAP3",2,"blue"
"STK39",3,"brown"
"KLHL7",1,"turquoise"
"LIN7A",1,"turquoise"
"BLVRA",1,"turquoise"
"OGFRL1",3,"brown"
"PIAS2",1,"turquoise"
"ADAM17",1,"turquoise"
"CPSF3",2,"blue"
"IAH1",3,"brown"
"SH3KBP1",3,"brown"
"ITGB1BP1",2,"blue"
"LRFN5",2,"blue"
"DYRK2",2,"blue"
"PRKD1",1,"turquoise"
"MDM1",8,"pink"
"G2E3",3,"brown"
"UBR2",1,"turquoise"
"RAB37",1,"turquoise"
"CPE",2,"blue"
"SOCS3",2,"blue"
"CHAC1",8,"pink"
"MAD2L1BP",6,"red"
"AIP",1,"turquoise"
"PLEKHF2",2,"blue"
"WWC1",3,"brown"
"HIKESHI",2,"blue"
"ALDH6A1",4,"yellow"
"JADE1",1,"turquoise"
"MGME1",1,"turquoise"
"SNX5",1,"turquoise"
"SSTR3",4,"yellow"
"SLC35A3",9,"magenta"
"ADAMTS18",1,"turquoise"
"PPIC",1,"turquoise"
"CABLES2",6,"red"
"CYTH4",4,"yellow"
"EPC2",1,"turquoise"
"SPTLC2",1,"turquoise"
"TRMU",4,"yellow"
"ECHDC3",4,"yellow"
"ARPC4",1,"turquoise"
"BCR",6,"red"
"TOLLIP",1,"turquoise"
"PTGS1",1,"turquoise"
"UBE2Z",1,"turquoise"
"CPNE2",1,"turquoise"
"EIF4H",1,"turquoise"
"PIP4K2A",5,"green"
"IL18",1,"turquoise"
"FAR2",1,"turquoise"
"KLHL42",3,"brown"
"IL1RAP",4,"yellow"
"ANKDD1A",3,"brown"
"PCYT2",4,"yellow"
"TEKT5",1,"turquoise"
"ARHGAP12",1,"turquoise"
"ZBTB17",4,"yellow"
"PMEL",4,"yellow"
"TRAFD1",2,"blue"
"TMEM121",2,"blue"
"PARP12",5,"green"
"TDRD1",1,"turquoise"
"DHRS7B",3,"brown"
"KCNB1",1,"turquoise"
"CEP89",9,"magenta"
"NOL8",1,"turquoise"
"MECR",1,"turquoise"
"SOX5",0,"grey"
"SOGA1",1,"turquoise"
"OAT",8,"pink"
"BSDC1",1,"turquoise"
"MED31",2,"blue"
"CDS2",1,"turquoise"
"IL6R",2,"blue"
"SIRT3",1,"turquoise"
"KREMEN1",1,"turquoise"
"PLCD1",1,"turquoise"
"KIF24",1,"turquoise"
"IPO7",1,"turquoise"
"FLT4",1,"turquoise"
"CEP83",5,"green"
"TRPT1",1,"turquoise"
"AKAP9",1,"turquoise"
"CFAP100",4,"yellow"
"TMEM144",1,"turquoise"
"MAF",1,"turquoise"
"KLF6",4,"yellow"
"TGM4",1,"turquoise"
"ZBTB45",4,"yellow"
"QRICH1",1,"turquoise"
"COQ7",4,"yellow"
"KIF3A",8,"pink"
"YPEL2",4,"yellow"
"NEDD9",4,"yellow"
"ELOVL2",1,"turquoise"
"NME5",1,"turquoise"
"GBA2",2,"blue"
"SAP30BP",1,"turquoise"
"LGALS8",3,"brown"
"SLC34A2",4,"yellow"
"KIAA1328",1,"turquoise"
"IFT122",1,"turquoise"
"NOP58",5,"green"
"JMJD8",1,"turquoise"
"PSEN1",5,"green"
"NVL",1,"turquoise"
"ZBTB7A",8,"pink"
"WDR82",1,"turquoise"
"SMAD9",8,"pink"
"CNOT8",1,"turquoise"
"SFXN5",4,"yellow"
"EXOC6B",8,"pink"
"FKBP6",1,"turquoise"
"RAD23B",1,"turquoise"
"MRPL50",1,"turquoise"
"ALDOB",1,"turquoise"
"TBC1D14",3,"brown"
"TADA2B",3,"brown"
"RNF20",1,"turquoise"
"GRPEL1",1,"turquoise"
"LPGAT1",2,"blue"
"MRPL21",1,"turquoise"
"ASH1L",1,"turquoise"
"DNAJC6",1,"turquoise"
"LEPROT",3,"brown"
"SNX10",5,"green"
"ATP23",1,"turquoise"
"WSB2",1,"turquoise"
"OAZ2",1,"turquoise"
"SRPK2",2,"blue"
"RBM8A",1,"turquoise"
"TSKU",3,"brown"
"SSR2",5,"green"
"RAB7B",2,"blue"
"SIAH2",3,"brown"
"CA8",1,"turquoise"
"NBAS",2,"blue"
"CERS2",7,"black"
"ARHGAP29",1,"turquoise"
"CUEDC2",1,"turquoise"
"FBXL15",2,"blue"
"TTC7A",1,"turquoise"
"PPP1CB",2,"blue"
"CFL2",6,"red"
"GPC4",1,"turquoise"
"DCTN5",2,"blue"
"TRAF6",5,"green"
"MAP2K5",1,"turquoise"
"DLD",2,"blue"
"SF3A1",1,"turquoise"
"KCTD2",8,"pink"
"RBM17",4,"yellow"
"STAMBPL1",6,"red"
"LAP3",1,"turquoise"
"RPL7",1,"turquoise"
"SNX11",2,"blue"
"MAP2K1",1,"turquoise"
"ENKUR",1,"turquoise"
"TRIM29",4,"yellow"
"CARD10",4,"yellow"
"CRTC1",1,"turquoise"
"TMED2",7,"black"
"ERLIN1",4,"yellow"
"YOD1",1,"turquoise"
"MRPL9",9,"magenta"
"PINK1",1,"turquoise"
"RNF126",1,"turquoise"
"MGMT",1,"turquoise"
"DLG5",9,"magenta"
"DCAF13",1,"turquoise"
"ARFGEF1",2,"blue"
"SIRT6",1,"turquoise"
"ZER1",1,"turquoise"
"BRAP",4,"yellow"
"FBXO2",2,"blue"
"SMURF1",4,"yellow"
"UBOX5",4,"yellow"
"NCALD",1,"turquoise"
"PDGFRB",1,"turquoise"
"AGPAT2",4,"yellow"
"NXNL2",3,"brown"
"ERP29",1,"turquoise"
"GNG12",1,"turquoise"
"E2F5",4,"yellow"
"LDLRAD3",1,"turquoise"
"SCARNA3",1,"turquoise"
"SLC7A2",1,"turquoise"
"PPP1R14C",1,"turquoise"
"C6orf62",1,"turquoise"
"PDLIM7",4,"yellow"
"HMMR",1,"turquoise"
"FGFR3",3,"brown"
"TACC3",3,"brown"
"EDF1",1,"turquoise"
"SHPRH",9,"magenta"
"L2HGDH",1,"turquoise"
"PLA2G6",4,"yellow"
"ATP5S",1,"turquoise"
"BAIAP2L2",1,"turquoise"
"GPAM",3,"brown"
"RPP38",1,"turquoise"
"SEC23B",1,"turquoise"
"NMT2",1,"turquoise"
"ZMYND19",5,"green"
"EVX2",1,"turquoise"
"TSPAN14",1,"turquoise"
"GOSR1",7,"black"
"MED10",3,"brown"
"BBOF1",3,"brown"
"PRPF38A",5,"green"
"MEMO1",1,"turquoise"
"SRD5A2",6,"red"
"ZC3H14",1,"turquoise"
"CRB2",1,"turquoise"
"POLR2C",1,"turquoise"
"MDH2",8,"pink"
"PANK4",9,"magenta"
"NDEL1",1,"turquoise"
"TBC1D2",1,"turquoise"
"EPHX2",4,"yellow"
"IGHMBP2",2,"blue"
"IRF8",1,"turquoise"
"INSIG1",4,"yellow"
"SPDYA",1,"turquoise"
"PKP2",1,"turquoise"
"DROSHA",1,"turquoise"
"TCF7",2,"blue"
"FAH",1,"turquoise"
"INSIG2",3,"brown"
"TXNRD2",1,"turquoise"
"AGO2",9,"magenta"
"CHIC1",4,"yellow"
"PARP6",3,"brown"
"PIGQ",9,"magenta"
"TRIT1",3,"brown"
"IFT81",3,"brown"
"REV3L",9,"magenta"
"EXOSC2",1,"turquoise"
"NPAS3",1,"turquoise"
"ZMIZ1",3,"brown"
"DNM1",7,"black"
"LRP3",1,"turquoise"
"FICD",3,"brown"
"ZNFX1",2,"blue"
"WLS",3,"brown"
"OXNAD1",1,"turquoise"
"FOXG1",3,"brown"
"DGKG",3,"brown"
"SETD3",1,"turquoise"
"ESRRB",2,"blue"
"TMEM50A",1,"turquoise"
"LIPG",4,"yellow"
"FOXP1",4,"yellow"
"AURKA",3,"brown"
"CREBBP",1,"turquoise"
"DIS3L2",2,"blue"
"KIAA1217",3,"brown"
"USP36",1,"turquoise"
"C3",1,"turquoise"
"SETX",1,"turquoise"
"SLC4A10",8,"pink"
"TAF2",1,"turquoise"
"CACNA2D2",1,"turquoise"
"SHISA4",2,"blue"
"RFNG",1,"turquoise"
"RILP",1,"turquoise"
"CTNNA3",7,"black"
"NEURL1B",1,"turquoise"
"gga-mir-6613",1,"turquoise"
"ARID2",9,"magenta"
"TRMT1L",1,"turquoise"
"RRAGC",1,"turquoise"
"CSRP1",1,"turquoise"
"PPA1",7,"black"
"SHCBP1",5,"green"
"MAEL",3,"brown"
"MAP7D1",3,"brown"
"WDR18",1,"turquoise"
"DHX8",1,"turquoise"
"DDX23",1,"turquoise"
"GIT1",5,"green"
"UBXN10",2,"blue"
"CPQ",1,"turquoise"
"CANX",2,"blue"
"MED30",0,"grey"
"RAB19",2,"blue"
